codigo;departamento;municipio;particulares;lea;total;
23580;Córdoba ;Puerto Libertador;35.303;59;35.362;
23586;Córdoba ;Purísima;14.702;3;14.705;
23660;Córdoba ;Sahagún;94.010;10;94.020;
23670;Córdoba ;San Andrés Sotavento;42.041;5;42.046;
23672;Córdoba ;San Antero;29.028;0;29.028;
23675;Córdoba ;San Bernardo del Viento;29.437;0;29.437;
23678;Córdoba ;San Carlos;23.532;0;23.532;
23682;Córdoba ;San José de Uré(1);11.059;0;11.059;
23686;Córdoba ;San Pelayo;40.614;3;40.617;
23807;Córdoba ;Tierralta;85.813;765;86.578;
23815;Córdoba ;Tuchín;40.033;0;40.033;
23855;Córdoba ;Valencia;30.532;13;30.545;
25001;Cundinamarca;Agua de Dios;10.421;321;10.742;
25019;Cundinamarca;Albán;5.920;216;6.136;
25035;Cundinamarca;Anapoima;12.130;111;12.241;
25040;Cundinamarca;Anolaima;12.120;84;12.204;
25053;Cundinamarca;Arbeláez;9.613;392;10.005;
25086;Cundinamarca;Beltrán;1.719;1;1.720;
25095;Cundinamarca;Bituima;2.223;1;2.224;
25099;Cundinamarca;Bojacá;9.653;21;9.674;
25120;Cundinamarca;Cabrera;4.270;242;4.512;
25123;Cundinamarca;Cachipay;9.267;7;9.274;
25126;Cundinamarca;Cajicá;80.534;577;81.111;
25148;Cundinamarca;Caparrapí;10.266;35;10.301;
25151;Cundinamarca;Caqueza;15.435;159;15.594;
25154;Cundinamarca;Carmen de Carupa;7.325;20;7.345;
25168;Cundinamarca;Chaguaní;3.323;0;3.323;
25175;Cundinamarca;Chía;128.753;860;129.613;
25178;Cundinamarca;Chipaque;8.624;9;8.633;
25181;Cundinamarca;Choachí;10.366;31;10.397;
25183;Cundinamarca;Chocontá;19.611;214;19.825;
25200;Cundinamarca;Cogua;20.801;301;21.102;
25214;Cundinamarca;Cota;31.364;504;31.868;
25224;Cundinamarca;Cucunubá;7.002;11;7.013;
25245;Cundinamarca;El Colegio;22.529;246;22.775;
25258;Cundinamarca;El Peñón;3.458;0;3.458;
25260;Cundinamarca;El Rosal;21.873;14;21.887;
25269;Cundinamarca;Facatativá;134.881;1.160;136.041;
25279;Cundinamarca;Fomeque;10.749;0;10.749;
25281;Cundinamarca;Fosca;5.561;17;5.578;
25286;Cundinamarca;Funza;90.670;184;90.854;
25288;Cundinamarca;Fúquene;4.848;1;4.849;
25290;Cundinamarca;Fusagasugá;131.661;2.997;134.658;
25293;Cundinamarca;Gachala;4.343;35;4.378;
25295;Cundinamarca;Gachancipá;16.601;32;16.633;
25297;Cundinamarca;Gachetá;8.065;138;8.203;
25299;Cundinamarca;Gama;3.032;23;3.055;
25307;Cundinamarca;Girardot;91.545;1.358;92.903;
25312;Cundinamarca;Granada;6.899;23;6.922;
25317;Cundinamarca;Guachetá;12.403;2;12.405;
25320;Cundinamarca;Guaduas;24.514;3.057;27.571;
25322;Cundinamarca;Guasca;14.954;38;14.992;
25324;Cundinamarca;Guataquí;1.974;3;1.977;
25326;Cundinamarca;Guatavita;6.145;3;6.148;
25328;Cundinamarca;Guayabal de Siquima;3.604;0;3.604;
25335;Cundinamarca;Guayabetal;5.809;0;5.809;
25339;Cundinamarca;Gutiérrez;3.311;0;3.311;
25368;Cundinamarca;Jerusalén;2.024;1;2.025;
25372;Cundinamarca;Junín;5.197;37;5.234;
25377;Cundinamarca;La Calera;28.405;96;28.501;
25386;Cundinamarca;La Mesa;28.962;490;29.452;
25394;Cundinamarca;La Palma;7.708;0;7.708;
25398;Cundinamarca;La Peña;5.406;23;5.429;
